Sujet;Sujet_name;;Cible;Cible_name;Material;Material_name;Slope;Slope_name;Trial;Trial_name;Trials_All;Duration;Amplitude;Impact_Speed;Spatial_Error
11;sujet11;C;1;25;2;balsa;1;m10;10;10;40;0.072;86.28509764;2.817052906;25.8612014
11;sujet11;C;1;25;2;balsa;2;0;1;1;41;0.112;126.5888887;2.202933646;-59.94049394
11;sujet11;C;1;25;2;balsa;2;0;2;2;42;0.12;169.2764383;3.064066154;-23.60306741
11;sujet11;C;1;25;2;balsa;2;0;3;3;43;0.18;238.2142442;3.091650829;-48.80037013
11;sujet11;C;1;25;2;balsa;2;0;4;4;44;0.188;173.9407327;2.487507749;-43.65919077
11;sujet11;C;1;25;2;balsa;2;0;5;5;45;0.128;185.8309952;2.851731418;0.035707613
11;sujet11;C;1;25;2;balsa;2;0;6;6;46;0.104;169.4807684;2.549429645;45.68972682
11;sujet11;C;1;25;2;balsa;2;0;7;7;47;0.156;110.7269651;2.28185803;-17.49964318
11;sujet11;C;1;25;2;balsa;2;0;8;8;48;0.156;128.5666868;1.978325526;-14.02967336
11;sujet11;C;1;25;2;balsa;2;0;9;9;49;0.088;99.58828734;2.153224216;17.11014139
11;sujet11;C;1;25;2;balsa;2;0;10;10;50;0.092;96.50242765;1.644418169;-67.34564801
11;sujet11;C;1;25;2;balsa;3;p10;1;1;51;0.132;115.3388909;1.762411065;-44.54936185
11;sujet11;C;1;25;2;balsa;3;p10;2;2;52;0.096;94.53020999;1.998289925;-31.8321639
11;sujet11;C;1;25;2;balsa;3;p10;3;3;53;0.084;93.54476651;2.279277904;0.033282209
11;sujet11;C;1;25;2;balsa;3;p10;4;4;54;0.112;101.6084706;1.992979993;-12.30941333
11;sujet11;C;1;25;2;balsa;3;p10;5;5;55;0.104;107.1311711;2.102154938;-20.8635017
11;sujet11;C;1;25;2;balsa;3;p10;6;6;56;0.096;111.7487805;2.610357581;-6.90796325
11;sujet11;C;1;25;2;balsa;3;p10;7;7;57;0.088;103.211194;2.492028544;-9.394945907
11;sujet11;C;1;25;2;balsa;3;p10;8;8;58;0.096;114.8380093;1.899439546;0.124499508
11;sujet11;C;1;25;2;balsa;3;p10;9;9;59;0.112;100.5996802;2.161465006;-2.368914696
11;sujet11;C;1;25;2;balsa;3;p10;10;10;60;0.128;109.3383521;2.286029023;11.29181321
11;sujet11;C;2;50;1;alu;1;m10;1;1;61;0.088;87.16863102;2.423288752;-2.399323874
11;sujet11;C;2;50;1;alu;1;m10;2;2;62;0.108;88.97054586;2.36129001;0.339225232
11;sujet11;C;2;50;1;alu;1;m10;3;3;63;0.096;73.41119666;2.228087173;11.4484801
11;sujet11;C;2;50;1;alu;1;m10;4;4;64;0.1;91.92796382;1.713798355;-16.41631655
11;sujet11;C;2;50;1;alu;1;m10;5;5;65;0.092;87.72562655;2.257243444;25.50954405
11;sujet11;C;2;50;1;alu;1;m10;6;6;66;0.096;80.84523387;2.087125105;3.651073753
11;sujet11;C;2;50;1;alu;1;m10;7;7;67;0.092;76.7485004;2.137780115;25.34140359
