Sujet;ST_M;Target;Material;Slope;Trial;Duration;Amplitude;Impact_Speed
14;M;25;balsa;m10;8;0,124;165,5356935;1,95571269
14;M;25;balsa;m10;9;0,176;182,88885;1,667128071
14;M;25;balsa;m10;10;0,152;184,9653547;1,552881696
14;M;25;balsa;p10;1;0,116;174,350505;2,141123216
14;M;25;balsa;p10;2;0,132;181,7357078;1,928512804
14;M;25;balsa;p10;3;0,128;176,4593552;1,861691396
14;M;25;balsa;p10;4;0,092;168,1927004;2,346656478
14;M;25;balsa;p10;5;0,116;170,9634422;2,21668063
14;M;25;balsa;p10;6;0,128;164,6268892;2,03493953
14;M;25;balsa;p10;7;0,108;176,6702301;1,750337717
14;M;25;balsa;p10;8;0,12;165,2779219;2,060800538
14;M;25;balsa;p10;9;0,104;149,7806884;1,874599344
14;M;25;balsa;p10;10;0,136;177,8626181;2,054967396
14;M;50;alu;0;1;0,136;217,7265247;2,591038196
14;M;50;alu;0;2;0,124;225,8758196;2,177400197
14;M;50;alu;0;3;0,124;207,3169862;2,454840215
14;M;50;alu;0;4;0,12;215,6896046;2,553166605
14;M;50;alu;0;5;0,124;220,1136688;2,719975
14;M;50;alu;0;6;0,128;188,4820283;2,465204723
14;M;50;alu;0;7;0,104;194,6418221;2,492875552
14;M;50;alu;0;8;0,12;210,7447689;2,304719234
14;M;50;alu;0;9;0,12;181,00511;2,366920124
14;M;50;alu;0;10;0,128;186,1673406;2,487344596
14;M;50;alu;m10;1;0,104;195,6004352;2,969808814
14;M;50;alu;m10;2;0,08;157,8125511;2,282061057
14;M;50;alu;m10;3;0,1;131,3599722;1,566997521
14;M;50;alu;m10;4;0,124;125,8202504;1,189032496
14;M;50;alu;m10;5;0,112;146,6067508;1,527176383
14;M;50;alu;m10;6;0,12;131,3427148;1,298596171
14;M;50;alu;m10;7;0,112;157,0305587;1,591940746
14;M;50;alu;m10;8;0,116;161,6779205;1,595636492
14;M;50;alu;m10;9;0,124;169,7070286;1,640970765
14;M;50;alu;m10;10;0,12;171,0607581;2,041923247
14;M;50;alu;p10;1;0,112;199,0602485;2,390340316
14;M;50;alu;p10;2;0,096;196,0861855;2,980276363
14;M;50;alu;p10;3;0,116;188,3512549;2,363135338
14;M;50;alu;p10;4;0,116;198,0054912;2,809266315
14;M;50;alu;p10;5;0,12;211,6290309;2,470688107
14;M;50;alu;p10;6;0,116;184,8238432;2,788563824
14;M;50;alu;p10;7;0,112;177,7917743;2,812481789
14;M;50;alu;p10;8;0,148;191,5268016;2,455414325
14;M;50;alu;p10;9;0,108;198,6470713;2,665022913
14;M;50;alu;p10;10;0,124;232,7730468;2,986357844
14;M;50;balsa;0;1;0,1;197,0816838;2,503443555
14;M;50;balsa;0;2;0,108;202,3990858;3,053105875
14;M;50;balsa;0;3;0,088;193,8393591;3,069205916
14;M;50;balsa;0;4;0,096;190,4797852;2,725900734
